"Forest.Type","Nav"
"Bu6",51.25
"Bu7",61
"Ei8",44.75
"Ei9",61
"EK1",54.5
"EK2",48
"EK3",54.5
"EK4",57.75
"EK5",61
"EK6",48
"Fi1",67.5
"Fi3",57.75
"Fi4",54.5
"Fi5",74
"Fi6",67.5
"Fi7",64.25
"Fi8",67.5
"Fi15",61
"Fs1",64.25
"Fs2",61
"Fs3",57.75
"Fs4",57.75
"Fs5",74
"Fs6",67.5
"Fs7",61
"Fs8",57.75
"Fs9",83.75
"Fs10",74
"Fs15",64.25
"FT1",64.25
"FT11",57.75
"FT12",57.75
"FT14",70.75
"FT15",67.5
"FT16",77.25
"FT19",57.75
"FT5",80.5
"FT6",83.75
"Ftb4",54.5
"Ftb5",61
"Ki1",48
"Ki14",48
"Ki7",54.5
"Ki8",61
"La2",57.75
"La3",61
"La6",77.25
"La8",64.25
"La9",54.5
"Lh15",77.25
"MH2",54.5
"MH6",57.75
"Zi1",57.75
"Zi2",57.75
"Zi3",54.5
"Zi4",61
"Zi6",70.75
"Zi7",54.5
