shortname,Name,respNitrogenClass,,,,,,,,,,,,,
piab,Picea abies,2,Fi,Fs,Ftb4,FT1,FT5,FT6,FT11,FT12,FT14,FT15,FT16,FT19,Ki7
abal,Abies alba,2.2,Ftb4,FT1,FT5,FT6,FT11,FT12,FT14,FT15,FT16,,,,
lade,Larix decidua,1.5,La,Zi1,Zi4,Zi6,Zi7,,,,,,,,
pisy,Pinus sylvestris,1.5,Ki8,Ki7,Ki1,Ki14,EK1,EK2,EK3,EK6,,,,,
fasy,Fagus sylvatica,2,Bu,Ftb5,Ftb4,,,,,,,,,,
quro,Quercus robur,1.5,MH2,,,,,,,,,,,,
acps,Acer pseudoplatanus,2.5,,,,,,,,,,,,,
frex,Fraxinus excelsior,2.5,,,,,,,,,,,,,
cabe,Carpinus betulus,2,,,,,,,,,,,,,
bepe,Betula pendula,1,,,,,,,,,,,,,
alin,Alnus incana,2.5,,,,,,,,,,,,,
qupe,Quercus petraea,1.5,MH6,EK1,EK2,,,,,,,,,,
psme,Pseudotsuga menzisii,2,,,,,,,,,,,,,
algl,Alnus glutinosa,3,,,,,,,,,,,,,
casa,Castanea sativa,2.5,,,,,,,,,,,,,
pini,Pinus nigra,1,,,,,,,,,,,,,
acca,Acer campestre,2,,,,,,,,,,,,,
acpl,Acer platanoides,2.5,,,,,,,,,,,,,
qupu,Quercus pubescence,1.5,EK4,EK5,Ei8,Ei9,MH2,EK1,EK2,,,,,,
pice,Pinus cembra,1.5,Zi1,Zi2,Zi3,Zi4,Zi6,Zi7,,,,,,,
soau,Sorbus aucuparia,1.5,,,,,,,,,,,,,
soar,Sorbus aria,1.5,,,,,,,,,,,,,
coav,Corylus avellana,2,,,,,,,,,,,,,
alvi,Alnus viridis,1.5,,,,,,,,,,,,,
potr,Populus tremula,2,,,,,,,,,,,,,
poni,Populus nigra,3,,,,,,,,,,,,,
tico,Tilia cordata,2,Lh15,,,,,,,,,,,,
tipl,Tilia platyphyllos,2.5,Lh15,,,,,,,,,,,,
ulgl,Ulmus glabra,2.5,,,,,,,,,,,,,
saca,Salix caprea,2,,,,,,,,,,,,,
rops,Robinia pseudoacacia,1,,,,,,,,,,,,,
pimu,Pinus mugo,1,,,,,,,,,,,,,
